iteration,variant_id,original_rows,unique_titles_in_group,rows_after_dedup,duplicates_removed
0,gemma3-generalist,5,5,5,0
0,gemma3-generalist2,5,5,5,0
0,gemma3-normative,5,5,5,0
0,gemma3-normative2,5,5,5,0
0,gemma3-subject_matter,5,5,5,0
0,gemma3-subject_matter2,5,5,5,0
0,llama-generalist,5,5,5,0
0,llama-generalist2,5,5,5,0
0,llama-normative,5,5,5,0
0,llama-normative2,5,5,5,0
0,llama-subject_matter,5,5,5,0
0,llama-subject_matter2,5,5,5,0
0,mistral-generalist,5,5,5,0
0,mistral-generalist2,5,5,5,0
0,mistral-normative,5,5,5,0
0,mistral-normative2,5,5,5,0
0,mistral-subject_matter,5,5,5,0
0,mistral-subject_matter2,5,5,5,0
0,phi4-generalist,5,5,5,0
0,phi4-generalist2,5,5,5,0
0,phi4-normative,5,5,5,0
0,phi4-normative2,5,5,5,0
0,phi4-subject_matter,5,5,5,0
0,phi4-subject_matter2,5,5,5,0
1,gemma3-generalist,5,5,5,0
1,gemma3-generalist2,5,5,5,0
1,gemma3-normative,5,5,5,0
1,gemma3-normative2,5,5,5,0
1,gemma3-subject_matter,5,5,5,0
1,gemma3-subject_matter2,5,5,5,0
1,llama-generalist,5,5,5,0
1,llama-generalist2,5,5,5,0
1,llama-normative,5,5,5,0
1,llama-normative2,5,5,5,0
1,llama-subject_matter,5,5,5,0
1,llama-subject_matter2,5,5,5,0
1,mistral-generalist,5,5,5,0
1,mistral-generalist2,5,5,5,0
1,mistral-normative,5,5,5,0
1,mistral-normative2,5,5,5,0
1,mistral-subject_matter,5,5,5,0
1,mistral-subject_matter2,5,5,5,0
1,phi4-generalist,5,5,5,0
1,phi4-generalist2,5,5,5,0
1,phi4-normative,5,5,5,0
1,phi4-normative2,5,5,5,0
1,phi4-subject_matter,5,5,5,0
1,phi4-subject_matter2,5,5,5,0
2,gemma3-generalist,5,5,5,0
2,gemma3-generalist2,5,5,5,0
2,gemma3-normative,5,5,5,0
2,gemma3-normative2,5,5,5,0
2,gemma3-subject_matter,5,5,5,0
2,gemma3-subject_matter2,5,5,5,0
2,llama-generalist,5,5,5,0
2,llama-generalist2,5,5,5,0
2,llama-normative,5,5,5,0
2,llama-normative2,5,5,5,0
2,llama-subject_matter,5,5,5,0
2,llama-subject_matter2,5,5,5,0
2,mistral-generalist,5,5,5,0
2,mistral-generalist2,5,5,5,0
2,mistral-normative,5,5,5,0
2,mistral-normative2,5,5,5,0
2,mistral-subject_matter,5,5,5,0
2,mistral-subject_matter2,5,5,5,0
2,phi4-generalist,5,5,5,0
2,phi4-generalist2,5,5,5,0
2,phi4-normative,5,5,5,0
2,phi4-normative2,5,5,5,0
2,phi4-subject_matter,5,5,5,0
2,phi4-subject_matter2,5,5,5,0
3,gemma3-generalist,5,5,5,0
3,gemma3-generalist2,5,5,5,0
3,gemma3-normative,5,5,5,0
3,gemma3-normative2,5,5,5,0
3,gemma3-subject_matter,5,5,5,0
3,gemma3-subject_matter2,5,5,5,0
3,llama-generalist,5,5,5,0
3,llama-generalist2,5,5,5,0
3,llama-normative,5,5,5,0
3,llama-normative2,5,5,5,0
3,llama-subject_matter,5,5,5,0
3,llama-subject_matter2,5,5,5,0
3,mistral-generalist,5,5,5,0
3,mistral-generalist2,5,5,5,0
3,mistral-normative,5,5,5,0
3,mistral-normative2,5,5,5,0
3,mistral-subject_matter,5,5,5,0
3,mistral-subject_matter2,5,5,5,0
3,phi4-generalist,5,5,5,0
3,phi4-generalist2,5,5,5,0
3,phi4-normative,5,5,5,0
3,phi4-normative2,5,5,5,0
3,phi4-subject_matter,5,5,5,0
3,phi4-subject_matter2,5,5,5,0
4,gemma3-generalist,5,5,5,0
4,gemma3-generalist2,5,5,5,0
4,gemma3-normative,5,5,5,0
4,gemma3-normative2,5,5,5,0
4,gemma3-subject_matter,5,5,5,0
4,gemma3-subject_matter2,5,5,5,0
4,llama-generalist,5,5,5,0
4,llama-generalist2,5,5,5,0
4,llama-normative,5,5,5,0
4,llama-normative2,5,5,5,0
4,llama-subject_matter,5,5,5,0
4,llama-subject_matter2,5,5,5,0
4,mistral-generalist,5,5,5,0
4,mistral-generalist2,5,5,5,0
4,mistral-normative,5,5,5,0
4,mistral-normative2,5,5,5,0
4,mistral-subject_matter,5,5,5,0
4,mistral-subject_matter2,5,5,5,0
4,phi4-generalist,5,5,5,0
4,phi4-generalist2,5,5,5,0
4,phi4-normative,5,5,5,0
4,phi4-normative2,5,5,5,0
4,phi4-subject_matter,5,5,5,0
4,phi4-subject_matter2,5,5,5,0
5,gemma3-generalist,5,5,5,0
5,gemma3-generalist2,5,5,5,0
5,gemma3-normative,5,5,5,0
5,gemma3-normative2,5,5,5,0
5,gemma3-subject_matter,5,5,5,0
5,gemma3-subject_matter2,5,5,5,0
5,llama-generalist,5,5,5,0
5,llama-generalist2,5,5,5,0
5,llama-normative,5,5,5,0
5,llama-normative2,5,5,5,0
5,llama-subject_matter,5,5,5,0
5,llama-subject_matter2,5,5,5,0
5,mistral-generalist,5,5,5,0
5,mistral-generalist2,5,5,5,0
5,mistral-normative,5,5,5,0
5,mistral-normative2,5,5,5,0
5,mistral-subject_matter,5,5,5,0
5,mistral-subject_matter2,5,5,5,0
5,phi4-generalist,5,5,5,0
5,phi4-generalist2,5,5,5,0
5,phi4-normative,5,5,5,0
5,phi4-normative2,5,5,5,0
5,phi4-subject_matter,5,5,5,0
5,phi4-subject_matter2,5,5,5,0
6,gemma3-generalist,5,5,5,0
6,gemma3-generalist2,5,5,5,0
6,gemma3-normative,5,5,5,0
6,gemma3-normative2,5,5,5,0
6,gemma3-subject_matter,5,5,5,0
6,gemma3-subject_matter2,5,5,5,0
6,llama-generalist,5,5,5,0
6,llama-generalist2,5,5,5,0
6,llama-normative,5,5,5,0
6,llama-normative2,5,5,5,0
6,llama-subject_matter,5,5,5,0
6,llama-subject_matter2,5,5,5,0
6,mistral-generalist,5,5,5,0
6,mistral-generalist2,5,5,5,0
6,mistral-normative,5,5,5,0
6,mistral-normative2,5,5,5,0
6,mistral-subject_matter,5,5,5,0
6,mistral-subject_matter2,5,5,5,0
6,phi4-generalist,5,5,5,0
6,phi4-generalist2,5,5,5,0
6,phi4-normative,5,5,5,0
6,phi4-normative2,5,5,5,0
6,phi4-subject_matter,5,5,5,0
6,phi4-subject_matter2,5,5,5,0
7,gemma3-generalist,5,5,5,0
7,gemma3-generalist2,5,5,5,0
7,gemma3-normative,5,5,5,0
7,gemma3-normative2,5,5,5,0
7,gemma3-subject_matter,5,5,5,0
7,gemma3-subject_matter2,5,5,5,0
7,llama-generalist,5,5,5,0
7,llama-generalist2,5,5,5,0
7,llama-normative,5,5,5,0
7,llama-normative2,5,5,5,0
7,llama-subject_matter,5,5,5,0
7,llama-subject_matter2,5,5,5,0
7,mistral-generalist,5,5,5,0
7,mistral-generalist2,5,5,5,0
7,mistral-normative,5,5,5,0
7,mistral-normative2,5,5,5,0
7,mistral-subject_matter,5,5,5,0
7,mistral-subject_matter2,5,5,5,0
7,phi4-generalist,5,5,5,0
7,phi4-generalist2,5,5,5,0
7,phi4-normative,5,5,5,0
7,phi4-normative2,5,5,5,0
7,phi4-subject_matter,5,5,5,0
7,phi4-subject_matter2,5,5,5,0
8,gemma3-generalist,5,5,5,0
8,gemma3-generalist2,5,5,5,0
8,gemma3-normative,5,5,5,0
8,gemma3-normative2,5,5,5,0
8,gemma3-subject_matter,5,5,5,0
8,gemma3-subject_matter2,5,5,5,0
8,llama-generalist,5,5,5,0
8,llama-generalist2,5,5,5,0
8,llama-normative,5,5,5,0
8,llama-normative2,5,5,5,0
8,llama-subject_matter,5,5,5,0
8,llama-subject_matter2,5,5,5,0
8,mistral-generalist,5,5,5,0
8,mistral-generalist2,5,5,5,0
8,mistral-normative,5,5,5,0
8,mistral-normative2,5,5,5,0
8,mistral-subject_matter,5,5,5,0
8,mistral-subject_matter2,5,5,5,0
8,phi4-generalist,5,5,5,0
8,phi4-generalist2,5,5,5,0
8,phi4-normative,5,5,5,0
8,phi4-normative2,5,5,5,0
8,phi4-subject_matter,5,5,5,0
8,phi4-subject_matter2,5,5,5,0
9,gemma3-generalist,5,5,5,0
9,gemma3-generalist2,5,5,5,0
9,gemma3-normative,5,5,5,0
9,gemma3-normative2,5,5,5,0
9,gemma3-subject_matter,5,5,5,0
9,gemma3-subject_matter2,5,5,5,0
9,llama-generalist,5,5,5,0
9,llama-generalist2,5,5,5,0
9,llama-normative,5,5,5,0
9,llama-normative2,5,5,5,0
9,llama-subject_matter,5,5,5,0
9,llama-subject_matter2,5,5,5,0
9,mistral-generalist,5,5,5,0
9,mistral-generalist2,5,5,5,0
9,mistral-normative,5,5,5,0
9,mistral-normative2,5,5,5,0
9,mistral-subject_matter,5,5,5,0
9,mistral-subject_matter2,5,5,5,0
9,phi4-generalist,5,5,5,0
9,phi4-generalist2,5,5,5,0
9,phi4-normative,5,5,5,0
9,phi4-normative2,5,5,5,0
9,phi4-subject_matter,5,5,5,0
9,phi4-subject_matter2,5,5,5,0
