title,company,location,posted,summary,url
Senior Design Engineer,Hovione,"Lisbon, Portugal",Posted 18 days ago,,/job_display/287791/Senior_Design_Engineer_Hovione_Lisbon_Portugal
Automation Engineer,Hovione,"Loures, Portugal",Posted 18 days ago,,/job_display/287789/Automation_Engineer_Hovione_Loures_Portugal
Mechanical Engineer,Axon Enterprise,"Brussels, Belgium",Posted 18 days ago,,/job_display/287787/Mechanical_Engineer_Axon_Enterprise_Brussels_Belgium
HV Engineer,Scatec,"Bucharest, Romania",Posted 18 days ago,,/job_display/287784/HV_Engineer_Scatec_Bucharest_Romania
Project Head - R&D,LivaNova,"Munich, Germany",Posted 18 days ago,,/job_display/287782/Project_Head_RD_LivaNova_Munich_Germany
Mechanical Engineer,CERN - European Organization for Nuclear Research,"Geneva, Switzerland",Posted 18 days ago,,/job_display/287780/Mechanical_Engineer_CERN_European_Organization_for_Nuclear_Research_Geneva_Switzerland
Flight Dynamics Modelling Engineer,Helsing,"Munich, Germany",Posted 18 days ago,,/job_display/287755/Flight_Dynamics_Modelling_Engineer_Helsing_Munich_Germany
Industrial Excellence Manager - Europe Area,Ferrero,Luxembourg,Posted 19 days ago,,/job_display/287726/Industrial_Excellence_Manager_Europe_Area_Ferrero_Luxembourg
Drivetrain Development Engineer - Electric Motor Development,Rimac Automobili,"Zagreb, Croatia",Posted 19 days ago,,/job_display/287709/Drivetrain_Development_Engineer_Electric_Motor_Development_Rimac_Automobili_Zagreb_Croatia
Mechanical Engineer,Sereact,"Stuttgart, Germany",Posted 19 days ago,,/job_display/287684/Mechanical_Engineer_Sereact_Stuttgart_Germany
Process Engineer,Filtronic,"Sedgefield, United Kingdom",Posted 19 days ago,,/job_display/287673/Process_Engineer_Filtronic_Sedgefield_United_Kingdom
Senior Optical Engineer,THEON International,"Koropi, Greece",Posted 19 days ago,,/job_display/287672/Senior_Optical_Engineer_THEON_International_Koropi_Greece
Battery System Integration Senior Engineer,XPeng,"Munich, Germany",Posted 20 days ago,,/job_display/287667/Battery_System_Integration_Senior_Engineer_XPeng_Munich_Germany
Project Manager,EP2C Energy,"Lorient, France",Posted 20 days ago,,/job_display/287650/Project_Manager_EP2C_Energy_Lorient_France
Senior Mechanical Engineer,THEON International,"Koropi, Greece",Posted 20 days ago,,/job_display/287644/Senior_Mechanical_Engineer_THEON_International_Koropi_Greece
Electrical Engineer,DeltaQuad,"Duivendrecht, Netherlands",Posted 20 days ago,,/job_display/287639/Electrical_Engineer_DeltaQuad_Duivendrecht_Netherlands
Lead System Integration Engineer,Stellantis,"Turin, Italy",Posted 20 days ago,,/job_display/287613/Lead_System_Integration_Engineer_Stellantis_Turin_Italy
BMS Controls Engineer,Rimac Automobili,"Oxfordshire, United Kingdom",Posted 20 days ago,,/job_display/287612/BMS_Controls_Engineer_Rimac_Automobili_Oxfordshire_United_Kingdom
Mixed Signal Design Engineer,ADI - Analog Devices,"Limerick, Ireland",Posted 20 days ago,,/job_display/287611/Mixed_Signal_Design_Engineer_ADI_Analog_Devices_Limerick_Ireland
"Gas and Chemical Engineer, Facilities Engineering",ADI - Analog Devices,"Limerick, Ireland",Posted 20 days ago,,/job_display/287609/Gas_and_Chemical_Engineer_Facilities_Engineering_ADI_Analog_Devices_Limerick_Ireland
Electronic Design Engineer,Flex,"Kalmar, Sweden",Posted 21 days ago,,/job_display/287585/Electronic_Design_Engineer_Flex_Kalmar_Sweden
Senior E2E System Engineer,Indra Group,"Madrid, Spain",Posted 21 days ago,,/job_display/287552/Senior_E2E_System_Engineer_Indra_Group_Madrid_Spain
Process Engineering Lead - NPI,AbbVie,"Westport, Ireland",Posted 21 days ago,,/job_display/287547/Process_Engineering_Lead_NPI_AbbVie_Westport_Ireland
Senior Process Safety Engineer,AbbVie,"Sligo, Ireland",Posted 21 days ago,,/job_display/287546/Senior_Process_Safety_Engineer_AbbVie_Sligo_Ireland
Energy Project Manager,Tractebel Engineering,"Bucharest, Romania",Posted 22 days ago,,/job_display/287504/Energy_Project_Manager_Tractebel_Engineering_Bucharest_Romania
Instrumentation and Control Engineer,Worley,"Sofia, Bulgaria",3 days left Posted 22 days ago,,/job_display/287495/Instrumentation_and_Control_Engineer_Worley_Sofia_Bulgaria
Supply Chain Process Engineer,Embention,"Alicante, Spain",Posted 22 days ago,,/job_display/287493/Supply_Chain_Process_Engineer_Embention_Alicante_Spain
Manufacturing Engineer,IDE - Intracom Defense,"Koropi, Greece",Posted 22 days ago,,/job_display/287491/Manufacturing_Engineer_IDE_Intracom_Defense_Koropi_Greece
Structural Analysis Engineer,Boeing,"Hamburg, Germany","Posted 22 days ago
                
                                      
                    Deadline 31 March",,/job_display/287488/Structural_Analysis_Engineer_Boeing_Hamburg_Germany
Mechanical Design Engineer,Westinghouse Electric Company,"Marseille, France",Posted 25 days ago,,/job_display/287449/Mechanical_Design_Engineer_Westinghouse_Electric_Company_Marseille_France
Electrical Project Engineer,RINA,"Turku or Mariehamn, Finland",Posted 25 days ago,,/job_display/287448/Electrical_Project_Engineer_RINA_Turku_or_Mariehamn_Finland
Process Engineer,Rimac Automobili,"Zagreb, Croatia",Posted 25 days ago,,/job_display/287446/Process_Engineer_Rimac_Automobili_Zagreb_Croatia
Electrical Engineer,Harmattan AI,"Paris, France",Posted 25 days ago,,/job_display/287438/Electrical_Engineer_Harmattan_AI_Paris_France
Mechanical Engineer,Harmattan AI,"Lausanne, Switzerland",Posted 26 days ago,,/job_display/287394/Mechanical_Engineer_Harmattan_AI_Lausanne_Switzerland
Digital Signal Processing (DSP) Engineer,onsemi,"Brno or Bratislava, Multiple Countries",Posted 26 days ago,,/job_display/287392/Digital_Signal_Processing_DSP_Engineer_onsemi_Brno_or_Bratislava_Multiple_Countries
Operations Engineer (Manufacturing),AbbVie,"Dublin, Ireland",Posted 26 days ago,,/job_display/287386/Operations_Engineer_Manufacturing_AbbVie_Dublin_Ireland
PCS Controls Engineer,Rimac Automobili,"Zagreb, Croatia",Posted 26 days ago,,/job_display/287374/PCS_Controls_Engineer_Rimac_Automobili_Zagreb_Croatia
Project Manager - EV Charging Infrastructure (Central Europe),XPeng,"Munich, Germany",Posted 26 days ago,,/job_display/287369/Project_Manager_EV_Charging_Infrastructure_Central_Europe_XPeng_Munich_Germany
Field Robotics Software & Communications Engineer,ARX Robotics,"Munich, Germany",Posted 27 days ago,,/job_display/287348/Field_Robotics_Software_Communications_Engineer_ARX_Robotics_Munich_Germany
Principal Process Engineer,Westinghouse Electric Company,"Cumbria, United Kingdom",Posted 27 days ago,,/job_display/287336/Principal_Process_Engineer_Westinghouse_Electric_Company_Cumbria_United_Kingdom
Automation Engineer (Robotics),Rimac Automobili,"Zagreb, Croatia",Posted 27 days ago,,/job_display/287329/Automation_Engineer_Robotics_Rimac_Automobili_Zagreb_Croatia
Electrical Project Manager,RINA,Finland,Posted 27 days ago,,/job_display/287327/Electrical_Project_Manager_RINA_Finland
Mechanical Engineer,Veolia,"Søborg, Denmark","Posted 27 days ago
                
                                      
                    Deadline 29 March",,/job_display/287323/Mechanical_Engineer_Veolia_Sborg_Denmark
Senior Engineer Avionic Systems,Pilatus Aircraft,"Stans, Switzerland",Posted 28 days ago,,/job_display/287295/Senior_Engineer_Avionic_Systems_Pilatus_Aircraft_Stans_Switzerland
Hybrid Energy Systems Engineer,IDE - Intracom Defense,"Koropi, Greece",Posted 28 days ago,,/job_display/287291/Hybrid_Energy_Systems_Engineer_IDE_Intracom_Defense_Koropi_Greece
Product Development Engineer,Grundfos,"Székesfehérvár, Hungary",Posted 28 days ago,,/job_display/287287/Product_Development_Engineer_Grundfos_Szkesfehrvr_Hungary
Engineering & Projects Manager,Bekaert Group,"Dundee, United Kingdom",Posted 28 days ago,,/job_display/287273/Engineering_Projects_Manager_Bekaert_Group_Dundee_United_Kingdom
CFD Methodology Engineer,Audi Revolut F1 Team,"Hinwil, Switzerland",Posted 29 days ago,,/job_display/287248/CFD_Methodology_Engineer_Audi_Revolut_F1_Team_Hinwil_Switzerland
Senior Electronics Design Engineer,TGR Haas F1 Team,"Banbury, United Kingdom",Posted 29 days ago,,/job_display/287246/Senior_Electronics_Design_Engineer_TGR_Haas_F1_Team_Banbury_United_Kingdom
Electrical Engineer,Axon Enterprise,"Brussels, Belgium",Posted 29 days ago,,/job_display/287244/Electrical_Engineer_Axon_Enterprise_Brussels_Belgium
Systems Integration Specialist,Bekaert Group,"Burgos, Spain",Posted 29 days ago,,/job_display/287234/Systems_Integration_Specialist_Bekaert_Group_Burgos_Spain
Senior R&D Engineer,Avient Corporation,"Assesse, Belgium",Posted 29 days ago,,/job_display/287231/Senior_RD_Engineer_Avient_Corporation_Assesse_Belgium
P&ID Comos Engineer,ANDRITZ,"Humenné, Slovakia",Posted 29 days ago,,/job_display/287228/PID_Comos_Engineer_ANDRITZ_Humenn_Slovakia
Senior Principal Analog Design Engineer,onsemi,"Brno, Czech Republic",Posted 32 days ago,,/job_display/287169/Senior_Principal_Analog_Design_Engineer_onsemi_Brno_Czech_Republic
Electrical Supervisor,PM Group,"Geel, Belgium",Posted 32 days ago,,/job_display/287168/Electrical_Supervisor_PM_Group_Geel_Belgium
Analog Design Engineer,Sony,"Oslo, Norway",Posted 32 days ago,,/job_display/287166/Analog_Design_Engineer_Sony_Oslo_Norway
Thermodynamic Engineer,Vertiv,"Tognana, Italy",Posted 32 days ago,,/job_display/287161/Thermodynamic_Engineer_Vertiv_Tognana_Italy
Analog/Digital R&D Electronic Engineer - Physical Products,Helsing,"Plymouth, United Kingdom",Posted 32 days ago,,/job_display/287137/Analog_Digital_RD_Electronic_Engineer_Physical_Products_Helsing_Plymouth_United_Kingdom
R&D Mems Process Development Engineer,STMicroelectronics,"Agrate Brianza, Italy",Posted 32 days ago,,/job_display/287131/RD_Mems_Process_Development_Engineer_STMicroelectronics_Agrate_Brianza_Italy
Engineering Specialist,Cummins,"Cwmbran, United Kingdom",Posted 33 days ago,,/job_display/287100/Engineering_Specialist_Cummins_Cwmbran_United_Kingdom
Project Manager - Integration & Solutions (Carbon Storage Well Construction),Baker Hughes,"Multiple Locations, Multiple Countries",Posted 33 days ago,,/job_display/287097/Project_Manager_Integration_Solutions_Carbon_Storage_Well_Construction_Baker_Hughes_Multiple_Locations_Multiple_Countries
Staff Mixed-Signal Design Engineer,ADI - Analog Devices,"Valencia or Munich, Multiple Countries",Posted 33 days ago,,/job_display/287095/Staff_Mixed_Signal_Design_Engineer_ADI_Analog_Devices_Valencia_or_Munich_Multiple_Countries
MEMS Calibration Engineer,STMicroelectronics,"Cornaredo, Italy",Posted 33 days ago,,/job_display/287091/MEMS_Calibration_Engineer_STMicroelectronics_Cornaredo_Italy
Mechanical Engineer,DeltaQuad,"Duivendrecht, Netherlands",Posted 33 days ago,,/job_display/287072/Mechanical_Engineer_DeltaQuad_Duivendrecht_Netherlands
Network Engineer for Networked Air Defence Systems,Rheinmetall,"Zurich, Switzerland",Posted 33 days ago,,/job_display/287070/Network_Engineer_for_Networked_Air_Defence_Systems_Rheinmetall_Zurich_Switzerland
NPI Project Manager,Sanmina,"Tatabanya, Hungary",Posted 34 days ago,,/job_display/287024/NPI_Project_Manager_Sanmina_Tatabanya_Hungary
Senior Materials Specialist,Seaborg Technologies,"Copenhagen, Denmark",Posted 34 days ago,,/job_display/287021/Senior_Materials_Specialist_Seaborg_Technologies_Copenhagen_Denmark
"R&D Lead, Mechanical Design",Stryker,"Carrigtwohill, Ireland",Posted 34 days ago,,/job_display/287019/RD_Lead_Mechanical_Design_Stryker_Carrigtwohill_Ireland
Principal Electrical Design Engineer,Stryker,"Cork, Ireland",Posted 34 days ago,,/job_display/287017/Principal_Electrical_Design_Engineer_Stryker_Cork_Ireland
Electrical Design Engineer (MEP),Tractebel Engineering,"Bucharest, Romania",Posted 34 days ago,,/job_display/287014/Electrical_Design_Engineer_MEP_Tractebel_Engineering_Bucharest_Romania
Project Manager - Pumps and Motors,Westinghouse Electric Company,"Nivelles, Belgium",Posted 34 days ago,,/job_display/287011/Project_Manager_Pumps_and_Motors_Westinghouse_Electric_Company_Nivelles_Belgium
"Automation Control Engineer, Electrical Panel - Manufacturing Test Engineering",Tesla,"Berlin, Germany",Posted 34 days ago,,/job_display/287004/Automation_Control_Engineer_Electrical_Panel_Manufacturing_Test_Engineering_Tesla_Berlin_Germany
Material Platform Developer - Barrier and Adhesion,Continental,"Szeged, Hungary",Posted 35 days ago,,/job_display/286972/Material_Platform_Developer_Barrier_and_Adhesion_Continental_Szeged_Hungary
Laboratory Materials Engineer,Prysmian Group,"Milan, Italy",Posted 35 days ago,,/job_display/286971/Laboratory_Materials_Engineer_Prysmian_Group_Milan_Italy
Mechanical Systems Engineer - Drone Platforms,Wingtra,"Zurich, Switzerland",Posted 35 days ago,,/job_display/286964/Mechanical_Systems_Engineer_Drone_Platforms_Wingtra_Zurich_Switzerland
Electrical Engineer for Air Defense Systems,IDE - Intracom Defense,"Koropi, Greece",Posted 35 days ago,,/job_display/286959/Electrical_Engineer_for_Air_Defense_Systems_IDE_Intracom_Defense_Koropi_Greece
Staff Analog/Mixed Signal IC Layout Engineer,ADI - Analog Devices,"Limerick or Cork, Ireland",Posted 35 days ago,,/job_display/286944/Staff_Analog_Mixed_Signal_IC_Layout_Engineer_ADI_Analog_Devices_Limerick_or_Cork_Ireland
Simulation Engineer Electronics,Flex,"Kalmar, Sweden",Posted 36 days ago,,/job_display/286916/Simulation_Engineer_Electronics_Flex_Kalmar_Sweden
Digital HW Engineer,Nokia,"Krakow, Poland",Posted 36 days ago,,/job_display/286915/Digital_HW_Engineer_Nokia_Krakow_Poland
R&D Mechatronics Project Technical Manager - RADAR,Valeo,"Prague, Czech Republic",Posted 36 days ago,,/job_display/286914/RD_Mechatronics_Project_Technical_Manager_RADAR_Valeo_Prague_Czech_Republic
Senior Project Engineer,Wood Group,"Ware, United Kingdom",Posted 36 days ago,,/job_display/286912/Senior_Project_Engineer_Wood_Group_Ware_United_Kingdom
Staff Digital Design Engineer,ams OSRAM,"Valencia, Spain",Posted 36 days ago,,/job_display/286903/Staff_Digital_Design_Engineer_ams_OSRAM_Valencia_Spain
Mechanical Design Engineer - Closures Engineering,Tesla,"Berlin, Germany",Posted 36 days ago,,/job_display/286884/Mechanical_Design_Engineer_Closures_Engineering_Tesla_Berlin_Germany
Director Manufacturing & Automotive Operations,Lightyear,"Venray, Netherlands",Posted 39 days ago,,/job_display/286868/Director_Manufacturing_Automotive_Operations_Lightyear_Venray_Netherlands
"R&D Engineer, Surgical Tools",MED-EL,"Innsbruck, Austria",Posted 39 days ago,,/job_display/286866/RD_Engineer_Surgical_Tools_MED_EL_Innsbruck_Austria
Usability Engineer,MED-EL,"Innsbruck, Austria",Posted 39 days ago,,/job_display/286865/Usability_Engineer_MED_EL_Innsbruck_Austria
Senior System Engineer I,Axon Enterprise,"Kassel, Germany",Posted 39 days ago,,/job_display/286861/Senior_System_Engineer_I_Axon_Enterprise_Kassel_Germany
Project Technical Lead,OPmobility,"Novy Jicin, Czech Republic",Posted 39 days ago,,/job_display/286858/Project_Technical_Lead_OPmobility_Novy_Jicin_Czech_Republic
Analog Electronics Design Engineer,IDE - Intracom Defense,"Koropi, Greece",Posted 39 days ago,,/job_display/286854/Analog_Electronics_Design_Engineer_IDE_Intracom_Defense_Koropi_Greece
(Senior) Hardware Validation Engineer - Medium Voltage,Tesla,"Freiburg, Germany",Posted 39 days ago,,/job_display/286853/Senior_Hardware_Validation_Engineer_Medium_Voltage_Tesla_Freiburg_Germany
"Quality Assurance Manager (Mixed-Signal IC, Aerospace Industry)",MDA Space,"Farnborough, United Kingdom",Posted 39 days ago,,/job_display/286849/Quality_Assurance_Manager_Mixed_Signal_IC_Aerospace_Industry_MDA_Space_Farnborough_United_Kingdom
Senior Electrical Engineer,Oxford Instruments,"Zurich, Switzerland",3 days left Posted 40 days ago,,/job_display/286804/Senior_Electrical_Engineer_Oxford_Instruments_Zurich_Switzerland
Engineering Program Leader - ADAS,Aptiv,"Krakow, Poland",3 days left Posted 40 days ago,,/job_display/286800/Engineering_Program_Leader_ADAS_Aptiv_Krakow_Poland
Assembly Process Engineer,OPmobility,"Lozorno, Slovakia",3 days left Posted 40 days ago,,/job_display/286799/Assembly_Process_Engineer_OPmobility_Lozorno_Slovakia
Product Engineer - Mechanical HV,Aptiv,"Krakow, Poland",3 days left Posted 40 days ago,,/job_display/286798/Product_Engineer_Mechanical_HV_Aptiv_Krakow_Poland
"Senior Project Engineer, Battery Cell",Tesla,"Grünheide, Germany",3 days left Posted 40 days ago,,/job_display/286786/Senior_Project_Engineer_Battery_Cell_Tesla_Grnheide_Germany
Product Manager,Atlas UAS,"Riga, Latvia",3 days left Posted 40 days ago,,/job_display/286784/Product_Manager_Atlas_UAS_Riga_Latvia
RF Engineer,Eutelsat Group,"Turin, Italy",3 days left Posted 40 days ago,,/job_display/286779/RF_Engineer_Eutelsat_Group_Turin_Italy
Quality and Continuous Improvement Manager,Prysmian Group,"Cornimont, France",2 days left Posted 41 days ago,,/job_display/286737/Quality_and_Continuous_Improvement_Manager_Prysmian_Group_Cornimont_France
Electronic Design Engineer,Atlas UAS,"Riga, Latvia",2 days left Posted 41 days ago,,/job_display/286735/Electronic_Design_Engineer_Atlas_UAS_Riga_Latvia
Aeroderivative Mechanical Design Engineer,Baker Hughes,"Florence, Italy",2 days left Posted 41 days ago,,/job_display/286732/Aeroderivative_Mechanical_Design_Engineer_Baker_Hughes_Florence_Italy
Manufacturing Test Engineer,Tesla,"Tilburg, Netherlands",2 days left Posted 41 days ago,,/job_display/286730/Manufacturing_Test_Engineer_Tesla_Tilburg_Netherlands
BESS Project Engineer,Alpiq Group,"Olten, Switzerland",2 days left Posted 41 days ago,,/job_display/286722/BESS_Project_Engineer_Alpiq_Group_Olten_Switzerland
Process Engineer,Flex,"Cork, Ireland",2 days left Posted 41 days ago,,/job_display/286720/Process_Engineer_Flex_Cork_Ireland
EWIS Engineer,IDE - Intracom Defense,"Koropi, Greece",1 day left Posted 42 days ago,,/job_display/286666/EWIS_Engineer_IDE_Intracom_Defense_Koropi_Greece
Chief Engineer,Harmattan AI,"Paris, France",1 day left Posted 42 days ago,,/job_display/286664/Chief_Engineer_Harmattan_AI_Paris_France
Laboratory Engineer,Electrolux,"Satu Mare, Romania",1 day left Posted 42 days ago,,/job_display/286645/Laboratory_Engineer_Electrolux_Satu_Mare_Romania
"(Senior) Power Electronics Engineer, Medium Voltage",Tesla,"Freiburg, Germany",1 day left Posted 42 days ago,,/job_display/286641/Senior_Power_Electronics_Engineer_Medium_Voltage_Tesla_Freiburg_Germany
Project Manager in Space Products,Thales,"Zurich, Switzerland",1 day left Posted 42 days ago,,/job_display/286634/Project_Manager_in_Space_Products_Thales_Zurich_Switzerland
Process Engineer,Hovione,"Loures, Portugal",Expiring today Posted 43 days ago,,/job_display/286596/Process_Engineer_Hovione_Loures_Portugal
Senior Manufacturing Engineer,Danfoss,"Ville-La-Grand, France",Expiring today Posted 43 days ago,,/job_display/286594/Senior_Manufacturing_Engineer_Danfoss_Ville_La_Grand_France
Design or Senior Design Engineer,Cyient,"Vaasa, Turku, Oulu, Pietarsaari or Tampere, Finland",Expiring today Posted 43 days ago,,/job_display/286593/Design_or_Senior_Design_Engineer_Cyient_Vaasa_Turku_Oulu_Pietarsaari_or_Tampere_Finland
Lead Project Engineer,Baker Hughes,"Florence, Italy",Expiring today Posted 43 days ago,,/job_display/286584/Lead_Project_Engineer_Baker_Hughes_Florence_Italy
Electronics Component Engineer,Beyond Gravity,"Gothenburg, Sweden",Expiring today Posted 43 days ago,,/job_display/286581/Electronics_Component_Engineer_Beyond_Gravity_Gothenburg_Sweden
Electrical Design Engineer - HV Systems,Prysmian Group,"Bishopstoke or Wrexham, United Kingdom",Expiring today Posted 43 days ago,,/job_display/286558/Electrical_Design_Engineer_HV_Systems_Prysmian_Group_Bishopstoke_or_Wrexham_United_Kingdom
"Project Manager, R&D",ADB Safegate,"Zaventem, Belgium",Expiring today Posted 43 days ago,,/job_display/286556/Project_Manager_RD_ADB_Safegate_Zaventem_Belgium
